Measure,Age,Value,Sex,Country
Cases,50,1601880,Both,Dominican Republic
Cases,55,1397704,Both,Dominican Republic
Cases,60,1056240,Both,Dominican Republic
Cases,65,786408,Both,Dominican Republic
Cases,70,583227,Both,Dominican Republic
Cases,75,428594,Both,Dominican Republic
Cases,80,350497,Both,Dominican Republic
Cases,85,263302,Both,Dominican Republic
Cases,90,217188,Both,Dominican Republic
Deaths,0,894,Both,Dominican Republic
Deaths,5,311,Both,Dominican Republic
Deaths,10,428,Both,Dominican Republic
Deaths,15,767,Both,Dominican Republic
Deaths,20,1993,Both,Dominican Republic
Deaths,25,3347,Both,Dominican Republic
Deaths,30,5881,Both,Dominican Republic
Deaths,35,9267,Both,Dominican Republic
Deaths,40,14842,Both,Dominican Republic
Deaths,45,24111,Both,Dominican Republic
Deaths,50,34251,Both,Dominican Republic
Deaths,55,46765,Both,Dominican Republic
Deaths,60,57322,Both,Dominican Republic
Deaths,65,64455,Both,Dominican Republic
Deaths,70,66925,Both,Dominican Republic
Deaths,75,64368,Both,Dominican Republic
Deaths,80,63890,Both,Dominican Republic
Deaths,85,56288,Both,Dominican Republic
Deaths,90,63669,Both,Dominican Republic
Cases,0,304978,Both,Ecuador
Cases,5,392894,Both,Ecuador
Cases,10,568184,Both,Ecuador
Cases,15,902741,Both,Ecuador
Cases,20,1611978,Both,Ecuador
Cases,25,2103937,Both,Ecuador
Cases,30,2104966,Both,Ecuador
Cases,35,1970078,Both,Ecuador
Cases,40,1834677,Both,Ecuador
Cases,45,1744550,Both,Ecuador
Cases,50,1601880,Both,Ecuador
Cases,55,1397704,Both,Ecuador
Cases,60,1056240,Both,Ecuador
Cases,65,786408,Both,Ecuador
Cases,70,583227,Both,Ecuador
Cases,75,428594,Both,Ecuador
Cases,80,350497,Both,Ecuador
Cases,85,263302,Both,Ecuador
Cases,90,217188,Both,Ecuador
Deaths,0,894,Both,Ecuador
Deaths,5,311,Both,Ecuador
Deaths,10,428,Both,Ecuador
Deaths,15,767,Both,Ecuador
Deaths,20,1993,Both,Ecuador
Deaths,25,3347,Both,Ecuador
Deaths,30,5881,Both,Ecuador
Deaths,35,9267,Both,Ecuador
Deaths,40,14842,Both,Ecuador
Deaths,45,24111,Both,Ecuador
Deaths,50,34251,Both,Ecuador
Deaths,55,46765,Both,Ecuador
Deaths,60,57322,Both,Ecuador
Deaths,65,64455,Both,Ecuador
Deaths,70,66925,Both,Ecuador
Deaths,75,64368,Both,Ecuador
Deaths,80,63890,Both,Ecuador
Deaths,85,56288,Both,Ecuador
Deaths,90,63669,Both,Ecuador
Cases,0,304978,Both,El Salvador
Cases,5,392894,Both,El Salvador
Cases,10,568184,Both,El Salvador
Cases,15,902741,Both,El Salvador
Cases,20,1611978,Both,El Salvador
Cases,25,2103937,Both,El Salvador
Cases,30,2104966,Both,El Salvador
Cases,35,1970078,Both,El Salvador
Cases,40,1834677,Both,El Salvador
Cases,45,1744550,Both,El Salvador
Cases,50,1601880,Both,El Salvador
Cases,55,1397704,Both,El Salvador
Cases,60,1056240,Both,El Salvador
Cases,65,786408,Both,El Salvador
Cases,70,583227,Both,El Salvador
Cases,75,428594,Both,El Salvador
Cases,80,350497,Both,El Salvador
Cases,85,263302,Both,El Salvador
Cases,90,217188,Both,El Salvador
Deaths,0,894,Both,El Salvador
Deaths,5,311,Both,El Salvador
Deaths,10,428,Both,El Salvador
Deaths,15,767,Both,El Salvador
Deaths,20,1993,Both,El Salvador
Deaths,25,3347,Both,El Salvador
Deaths,30,5881,Both,El Salvador
Deaths,35,9267,Both,El Salvador
Deaths,40,14842,Both,El Salvador
Deaths,45,24111,Both,El Salvador
Deaths,50,34251,Both,El Salvador
Deaths,55,46765,Both,El Salvador
Deaths,60,57322,Both,El Salvador
Deaths,65,64455,Both,El Salvador
Deaths,70,66925,Both,El Salvador
Deaths,75,64368,Both,El Salvador
Deaths,80,63890,Both,El Salvador
Deaths,85,56288,Both,El Salvador
Deaths,90,63669,Both,El Salvador
Cases,0,304978,Both,Eswatini
Cases,5,392894,Both,Eswatini
Cases,10,568184,Both,Eswatini
Cases,15,902741,Both,Eswatini
Cases,20,1611978,Both,Eswatini
Cases,25,2103937,Both,Eswatini
Cases,30,2104966,Both,Eswatini
Cases,35,1970078,Both,Eswatini
Cases,40,1834677,Both,Eswatini
Cases,45,1744550,Both,Eswatini
Cases,50,1601880,Both,Eswatini
Cases,55,1397704,Both,Eswatini
Cases,60,1056240,Both,Eswatini
Cases,65,786408,Both,Eswatini
Cases,70,583227,Both,Eswatini
Cases,75,428594,Both,Eswatini
Cases,80,350497,Both,Eswatini
Cases,85,263302,Both,Eswatini
Cases,90,217188,Both,Eswatini
Deaths,0,894,Both,Eswatini
Deaths,5,311,Both,Eswatini
Deaths,10,428,Both,Eswatini
Deaths,15,767,Both,Eswatini
Deaths,20,1993,Both,Eswatini
Deaths,25,3347,Both,Eswatini
Deaths,30,5881,Both,Eswatini
Deaths,35,9267,Both,Eswatini
Deaths,40,14842,Both,Eswatini
Deaths,45,24111,Both,Eswatini
Deaths,50,34251,Both,Eswatini
Deaths,55,46765,Both,Eswatini
Deaths,60,57322,Both,Eswatini
Deaths,65,64455,Both,Eswatini
Deaths,70,66925,Both,Eswatini
Deaths,75,64368,Both,Eswatini
Deaths,80,63890,Both,Eswatini
Deaths,85,56288,Both,Eswatini
Deaths,90,63669,Both,Eswatini
Cases,0,304978,Both,Finland
Cases,5,392894,Both,Finland
Cases,10,568184,Both,Finland
Cases,15,902741,Both,Finland
Cases,20,1611978,Both,Finland
Cases,25,2103937,Both,Finland
Cases,30,2104966,Both,Finland
Cases,35,1970078,Both,Finland
Cases,40,1834677,Both,Finland
Cases,45,1744550,Both,Finland
Cases,50,1601880,Both,Finland
Cases,55,1397704,Both,Finland
Cases,60,1056240,Both,Finland
Cases,65,786408,Both,Finland
Cases,70,583227,Both,Finland
Cases,75,428594,Both,Finland
Cases,80,350497,Both,Finland
Cases,85,263302,Both,Finland
Cases,90,217188,Both,Finland
Deaths,0,894,Both,Finland
Deaths,5,311,Both,Finland
Deaths,10,428,Both,Finland
Deaths,15,767,Both,Finland
Deaths,20,1993,Both,Finland
Deaths,25,3347,Both,Finland
Deaths,30,5881,Both,Finland
Deaths,35,9267,Both,Finland
Deaths,40,14842,Both,Finland
Deaths,45,24111,Both,Finland
Deaths,50,34251,Both,Finland
Deaths,55,46765,Both,Finland
Deaths,60,57322,Both,Finland
Deaths,65,64455,Both,Finland
Deaths,70,66925,Both,Finland
Deaths,75,64368,Both,Finland
Deaths,80,63890,Both,Finland
Deaths,85,56288,Both,Finland
Deaths,90,63669,Both,Finland
Cases,0,304978,Both,Germany
Cases,5,392894,Both,Germany
Cases,10,568184,Both,Germany
Cases,15,902741,Both,Germany
Cases,20,1611978,Both,Germany
Cases,25,2103937,Both,Germany
Cases,30,2104966,Both,Germany
Cases,35,1970078,Both,Germany
Cases,40,1834677,Both,Germany
Cases,45,1744550,Both,Germany
Cases,50,1601880,Both,Germany
Cases,55,1397704,Both,Germany
Cases,60,1056240,Both,Germany
Cases,65,786408,Both,Germany
Cases,70,583227,Both,Germany
Cases,75,428594,Both,Germany
Cases,80,350497,Both,Germany
Cases,85,263302,Both,Germany
Cases,90,217188,Both,Germany
Deaths,0,894,Both,Germany
Deaths,5,311,Both,Germany
Deaths,10,428,Both,Germany
Deaths,15,767,Both,Germany
Deaths,20,1993,Both,Germany
Deaths,25,3347,Both,Germany
Deaths,30,5881,Both,Germany
Deaths,35,9267,Both,Germany
Deaths,40,14842,Both,Germany
Deaths,45,24111,Both,Germany
Deaths,50,34251,Both,Germany
Deaths,55,46765,Both,Germany
Deaths,60,57322,Both,Germany
Deaths,65,64455,Both,Germany
Deaths,70,66925,Both,Germany
Deaths,75,64368,Both,Germany
Deaths,80,63890,Both,Germany
Deaths,85,56288,Both,Germany
Deaths,90,63669,Both,Germany
Cases,0,304978,Both,Greece
Cases,5,392894,Both,Greece
Cases,10,568184,Both,Greece
Cases,15,902741,Both,Greece
Cases,20,1611978,Both,Greece
Cases,25,2103937,Both,Greece
Cases,30,2104966,Both,Greece
Cases,35,1970078,Both,Greece
Cases,40,1834677,Both,Greece
Cases,45,1744550,Both,Greece
Cases,50,1601880,Both,Greece
Cases,55,1397704,Both,Greece
Cases,60,1056240,Both,Greece
Cases,65,786408,Both,Greece
Cases,70,583227,Both,Greece
Cases,75,428594,Both,Greece
Cases,80,350497,Both,Greece
Cases,85,263302,Both,Greece
Cases,90,217188,Both,Greece
Deaths,0,894,Both,Greece
Deaths,5,311,Both,Greece
Deaths,10,428,Both,Greece
Deaths,15,767,Both,Greece
Deaths,20,1993,Both,Greece
Deaths,25,3347,Both,Greece
Deaths,30,5881,Both,Greece
Deaths,35,9267,Both,Greece
Deaths,40,14842,Both,Greece
Deaths,45,24111,Both,Greece
Deaths,50,34251,Both,Greece
Deaths,55,46765,Both,Greece
Deaths,60,57322,Both,Greece
Deaths,65,64455,Both,Greece
Deaths,70,66925,Both,Greece
Deaths,75,64368,Both,Greece
Deaths,80,63890,Both,Greece
Deaths,85,56288,Both,Greece
Deaths,90,63669,Both,Greece
Cases,0,304978,Both,Haiti
Cases,5,392894,Both,Haiti
Cases,10,568184,Both,Haiti
Cases,15,902741,Both,Haiti
Cases,20,1611978,Both,Haiti
Cases,25,2103937,Both,Haiti
Cases,30,2104966,Both,Haiti
Cases,35,1970078,Both,Haiti
Cases,40,1834677,Both,Haiti
Cases,45,1744550,Both,Haiti
Cases,50,1601880,Both,Haiti
Cases,55,1397704,Both,Haiti
Cases,60,1056240,Both,Haiti
Cases,65,786408,Both,Haiti
Cases,70,583227,Both,Haiti
Cases,75,428594,Both,Haiti
Cases,80,350497,Both,Haiti
Cases,85,263302,Both,Haiti
Cases,90,217188,Both,Haiti
Deaths,0,894,Both,Haiti
Deaths,5,311,Both,Haiti
Deaths,10,428,Both,Haiti
Deaths,15,767,Both,Haiti
Deaths,20,1993,Both,Haiti
Deaths,25,3347,Both,Haiti
Deaths,30,5881,Both,Haiti
Deaths,35,9267,Both,Haiti
Deaths,40,14842,Both,Haiti
Deaths,45,24111,Both,Haiti
Deaths,50,34251,Both,Haiti
Deaths,55,46765,Both,Haiti
Deaths,60,57322,Both,Haiti
Deaths,65,64455,Both,Haiti
Deaths,70,66925,Both,Haiti
Deaths,75,64368,Both,Haiti
Deaths,80,63890,Both,Haiti
Deaths,85,56288,Both,Haiti
Deaths,90,63669,Both,Haiti
Cases,0,304978,Both,Hungary
Cases,5,392894,Both,Hungary
Cases,10,568184,Both,Hungary
Cases,15,902741,Both,Hungary
Cases,20,1611978,Both,Hungary
Cases,25,2103937,Both,Hungary
Cases,30,2104966,Both,Hungary
Cases,35,1970078,Both,Hungary
Cases,40,1834677,Both,Hungary
Cases,45,1744550,Both,Hungary
Cases,50,1601880,Both,Hungary
Cases,55,1397704,Both,Hungary
Cases,60,1056240,Both,Hungary
Cases,65,786408,Both,Hungary
Cases,70,583227,Both,Hungary
Cases,75,428594,Both,Hungary
Cases,80,350497,Both,Hungary
Cases,85,263302,Both,Hungary
Cases,90,217188,Both,Hungary
Deaths,0,894,Both,Hungary
Deaths,5,311,Both,Hungary
Deaths,10,428,Both,Hungary
Deaths,15,767,Both,Hungary
Deaths,20,1993,Both,Hungary
Deaths,25,3347,Both,Hungary
Deaths,30,5881,Both,Hungary
Deaths,35,9267,Both,Hungary
Deaths,40,14842,Both,Hungary
Deaths,45,24111,Both,Hungary
Deaths,50,34251,Both,Hungary
Deaths,55,46765,Both,Hungary
Deaths,60,57322,Both,Hungary
Deaths,65,64455,Both,Hungary
Deaths,70,66925,Both,Hungary
Deaths,75,64368,Both,Hungary
Deaths,80,63890,Both,Hungary
Deaths,85,56288,Both,Hungary
Deaths,90,63669,Both,Hungary
Cases,0,304978,Both,Iceland
Cases,5,392894,Both,Iceland
Cases,10,568184,Both,Iceland
Cases,15,902741,Both,Iceland
Cases,20,1611978,Both,Iceland
Cases,25,2103937,Both,Iceland
Cases,30,2104966,Both,Iceland
Cases,35,1970078,Both,Iceland
Cases,40,1834677,Both,Iceland
Cases,45,1744550,Both,Iceland
Cases,50,1601880,Both,Iceland
Cases,55,1397704,Both,Iceland
Cases,60,1056240,Both,Iceland
Cases,65,786408,Both,Iceland
Cases,70,583227,Both,Iceland
Cases,75,428594,Both,Iceland
Cases,80,350497,Both,Iceland
Cases,85,263302,Both,Iceland
Cases,90,217188,Both,Iceland
Deaths,0,894,Both,Iceland
Deaths,5,311,Both,Iceland
Deaths,10,428,Both,Iceland
Deaths,15,767,Both,Iceland
Deaths,20,1993,Both,Iceland
Deaths,25,3347,Both,Iceland
Deaths,30,5881,Both,Iceland
Deaths,35,9267,Both,Iceland
Deaths,40,14842,Both,Iceland
Deaths,45,24111,Both,Iceland
Deaths,50,34251,Both,Iceland
Deaths,55,46765,Both,Iceland
Deaths,60,57322,Both,Iceland
Deaths,65,64455,Both,Iceland
Deaths,70,66925,Both,Iceland
Deaths,75,64368,Both,Iceland
Deaths,80,63890,Both,Iceland
Deaths,85,56288,Both,Iceland
Deaths,90,63669,Both,Iceland
Cases,0,304978,Both,India
Cases,5,392894,Both,India
Cases,10,568184,Both,India
Cases,15,902741,Both,India
Cases,20,1611978,Both,India
Cases,25,2103937,Both,India
Cases,30,2104966,Both,India
Cases,35,1970078,Both,India
Cases,40,1834677,Both,India
Cases,45,1744550,Both,India
Cases,50,1601880,Both,India
Cases,55,1397704,Both,India
Cases,60,1056240,Both,India
Cases,65,786408,Both,India
Cases,70,583227,Both,India
Cases,75,428594,Both,India
Cases,80,350497,Both,India
Cases,85,263302,Both,India
Cases,90,217188,Both,India
Deaths,0,894,Both,India
Deaths,5,311,Both,India
Deaths,10,428,Both,India
Deaths,15,767,Both,India
Deaths,20,1993,Both,India
Deaths,25,3347,Both,India
Deaths,30,5881,Both,India
Deaths,35,9267,Both,India
Deaths,40,14842,Both,India
Deaths,45,24111,Both,India
Deaths,50,34251,Both,India
Deaths,55,46765,Both,India
Deaths,60,57322,Both,India
Deaths,65,64455,Both,India
Deaths,70,66925,Both,India
Deaths,75,64368,Both,India
Deaths,80,63890,Both,India
Deaths,85,56288,Both,India
Deaths,90,63669,Both,India
Cases,0,304978,Both,Indonesia
Cases,5,392894,Both,Indonesia
Cases,10,568184,Both,Indonesia
Cases,15,902741,Both,Indonesia
Cases,20,1611978,Both,Indonesia
Cases,25,2103937,Both,Indonesia
Cases,30,2104966,Both,Indonesia
Cases,35,1970078,Both,Indonesia
Cases,40,1834677,Both,Indonesia
Cases,45,1744550,Both,Indonesia
Cases,50,1601880,Both,Indonesia
Cases,55,1397704,Both,Indonesia
Cases,60,1056240,Both,Indonesia
Cases,65,786408,Both,Indonesia
Cases,70,583227,Both,Indonesia
Cases,75,428594,Both,Indonesia
Cases,80,350497,Both,Indonesia
Cases,85,263302,Both,Indonesia
Cases,90,217188,Both,Indonesia
Deaths,0,894,Both,Indonesia
Deaths,5,311,Both,Indonesia
Deaths,10,428,Both,Indonesia
Deaths,15,767,Both,Indonesia
Deaths,20,1993,Both,Indonesia
Deaths,25,3347,Both,Indonesia
Deaths,30,5881,Both,Indonesia
Deaths,35,9267,Both,Indonesia
Deaths,40,14842,Both,Indonesia
Deaths,45,24111,Both,Indonesia
Deaths,50,34251,Both,Indonesia
Deaths,55,46765,Both,Indonesia
Deaths,60,57322,Both,Indonesia
Deaths,65,64455,Both,Indonesia
Deaths,70,66925,Both,Indonesia
Deaths,75,64368,Both,Indonesia
Deaths,80,63890,Both,Indonesia
Deaths,85,56288,Both,Indonesia
Deaths,90,63669,Both,Indonesia
Cases,0,304978,Both,Iraq
Cases,5,392894,Both,Iraq
Cases,10,568184,Both,Iraq
Cases,15,902741,Both,Iraq
Cases,20,1611978,Both,Iraq
Cases,25,2103937,Both,Iraq
Cases,30,2104966,Both,Iraq
Cases,35,1970078,Both,Iraq
Cases,40,1834677,Both,Iraq
Cases,45,1744550,Both,Iraq
Cases,50,1601880,Both,Iraq
Cases,55,1397704,Both,Iraq
Cases,60,1056240,Both,Iraq
Cases,65,786408,Both,Iraq
Cases,70,583227,Both,Iraq
Cases,75,428594,Both,Iraq
Cases,80,350497,Both,Iraq
Cases,85,263302,Both,Iraq
Cases,90,217188,Both,Iraq
Deaths,0,894,Both,Iraq
Deaths,5,311,Both,Iraq
Deaths,10,428,Both,Iraq
Deaths,15,767,Both,Iraq
Deaths,20,1993,Both,Iraq
Deaths,25,3347,Both,Iraq
Deaths,30,5881,Both,Iraq
Deaths,35,9267,Both,Iraq
Deaths,40,14842,Both,Iraq
Deaths,45,24111,Both,Iraq
Deaths,50,34251,Both,Iraq
Deaths,55,46765,Both,Iraq
Deaths,60,57322,Both,Iraq
Deaths,65,64455,Both,Iraq
Deaths,70,66925,Both,Iraq
Deaths,75,64368,Both,Iraq
Deaths,80,63890,Both,Iraq
Deaths,85,56288,Both,Iraq
Deaths,90,63669,Both,Iraq
Cases,0,304978,Both,Ireland
Cases,5,392894,Both,Ireland
Cases,10,568184,Both,Ireland
Cases,15,902741,Both,Ireland
Cases,20,1611978,Both,Ireland
Cases,25,2103937,Both,Ireland
Cases,30,2104966,Both,Ireland
Cases,35,1970078,Both,Ireland
Cases,40,1834677,Both,Ireland
Cases,45,1744550,Both,Ireland
Cases,50,1601880,Both,Ireland
Cases,55,1397704,Both,Ireland
Cases,60,1056240,Both,Ireland
Cases,65,786408,Both,Ireland
Cases,70,583227,Both,Ireland
Cases,75,428594,Both,Ireland
Cases,80,350497,Both,Ireland
Cases,85,263302,Both,Ireland
Cases,90,217188,Both,Ireland
Deaths,0,894,Both,Ireland
Deaths,5,311,Both,Ireland
Deaths,10,428,Both,Ireland
Deaths,15,767,Both,Ireland
Deaths,20,1993,Both,Ireland
Deaths,25,3347,Both,Ireland
Deaths,30,5881,Both,Ireland
Deaths,35,9267,Both,Ireland
Deaths,40,14842,Both,Ireland
Deaths,45,24111,Both,Ireland
Deaths,50,34251,Both,Ireland
Deaths,55,46765,Both,Ireland
Deaths,60,57322,Both,Ireland
Deaths,65,64455,Both,Ireland
Deaths,70,66925,Both,Ireland
Deaths,75,64368,Both,Ireland
Deaths,80,63890,Both,Ireland
Deaths,85,56288,Both,Ireland
Deaths,90,63669,Both,Ireland
Cases,0,304978,Both,Italy
Cases,5,392894,Both,Italy
Cases,10,568184,Both,Italy
Cases,15,902741,Both,Italy
Cases,20,1611978,Both,Italy
Cases,25,2103937,Both,Italy
Cases,30,2104966,Both,Italy
Cases,35,1970078,Both,Italy
Cases,40,1834677,Both,Italy
Cases,45,1744550,Both,Italy
Cases,50,1601880,Both,Italy
Cases,55,1397704,Both,Italy
Cases,60,1056240,Both,Italy
Cases,65,786408,Both,Italy
Cases,70,583227,Both,Italy
Cases,75,428594,Both,Italy
Cases,80,350497,Both,Italy
Cases,85,263302,Both,Italy
Cases,90,217188,Both,Italy
Deaths,0,894,Both,Italy
Deaths,5,311,Both,Italy
Deaths,10,428,Both,Italy
Deaths,15,767,Both,Italy
Deaths,20,1993,Both,Italy
Deaths,25,3347,Both,Italy
Deaths,30,5881,Both,Italy
Deaths,35,9267,Both,Italy
Deaths,40,14842,Both,Italy
Deaths,45,24111,Both,Italy
Deaths,50,34251,Both,Italy
Deaths,55,46765,Both,Italy
Deaths,60,57322,Both,Italy
Deaths,65,64455,Both,Italy
Deaths,70,66925,Both,Italy
Deaths,75,64368,Both,Italy
Deaths,80,63890,Both,Italy
Deaths,85,56288,Both,Italy
Deaths,90,63669,Both,Italy
Cases,0,304978,Both,Jamaica
Cases,5,392894,Both,Jamaica
Cases,10,568184,Both,Jamaica
Cases,15,902741,Both,Jamaica
Cases,20,1611978,Both,Jamaica
Cases,25,2103937,Both,Jamaica
Cases,30,2104966,Both,Jamaica
Cases,35,1970078,Both,Jamaica
Cases,40,1834677,Both,Jamaica
Cases,45,1744550,Both,Jamaica
Cases,50,1601880,Both,Jamaica
Cases,55,1397704,Both,Jamaica
Cases,60,1056240,Both,Jamaica
Cases,65,786408,Both,Jamaica
Cases,70,583227,Both,Jamaica
Cases,75,428594,Both,Jamaica
Cases,80,350497,Both,Jamaica
Cases,85,263302,Both,Jamaica
Cases,90,217188,Both,Jamaica
Deaths,0,894,Both,Jamaica
Deaths,5,311,Both,Jamaica
Deaths,10,428,Both,Jamaica
Deaths,15,767,Both,Jamaica
Deaths,20,1993,Both,Jamaica
Deaths,25,3347,Both,Jamaica
Deaths,30,5881,Both,Jamaica
Deaths,35,9267,Both,Jamaica
Deaths,40,14842,Both,Jamaica
Deaths,45,24111,Both,Jamaica
Deaths,50,34251,Both,Jamaica
Deaths,55,46765,Both,Jamaica
Deaths,60,57322,Both,Jamaica
Deaths,65,64455,Both,Jamaica
Deaths,70,66925,Both,Jamaica
Deaths,75,64368,Both,Jamaica
Deaths,80,63890,Both,Jamaica
Deaths,85,56288,Both,Jamaica
Deaths,90,63669,Both,Jamaica
Cases,0,304978,Both,Japan
Cases,5,392894,Both,Japan
Cases,10,568184,Both,Japan
Cases,15,902741,Both,Japan
Cases,20,1611978,Both,Japan
Cases,25,2103937,Both,Japan
Cases,30,2104966,Both,Japan
Cases,35,1970078,Both,Japan
Cases,40,1834677,Both,Japan
Cases,45,1744550,Both,Japan
Cases,50,1601880,Both,Japan
Cases,55,1397704,Both,Japan
Cases,60,1056240,Both,Japan
Cases,65,786408,Both,Japan
Cases,70,583227,Both,Japan
Cases,75,428594,Both,Japan
Cases,80,350497,Both,Japan
Cases,85,263302,Both,Japan
Cases,90,217188,Both,Japan
Deaths,0,894,Both,Japan
Deaths,5,311,Both,Japan
Deaths,10,428,Both,Japan
Deaths,15,767,Both,Japan
Deaths,20,1993,Both,Japan
Deaths,25,3347,Both,Japan
Deaths,30,5881,Both,Japan
Deaths,35,9267,Both,Japan
Deaths,40,14842,Both,Japan
Deaths,45,24111,Both,Japan
Deaths,50,34251,Both,Japan
Deaths,55,46765,Both,Japan
Deaths,60,57322,Both,Japan
Deaths,65,64455,Both,Japan
Deaths,70,66925,Both,Japan
Deaths,75,64368,Both,Japan
Deaths,80,63890,Both,Japan
Deaths,85,56288,Both,Japan
Deaths,90,63669,Both,Japan
Cases,0,304978,Both,Jordan
Cases,5,392894,Both,Jordan
Cases,10,568184,Both,Jordan
Cases,15,902741,Both,Jordan
Cases,20,1611978,Both,Jordan
Cases,25,2103937,Both,Jordan
Cases,30,2104966,Both,Jordan
Cases,35,1970078,Both,Jordan
Cases,40,1834677,Both,Jordan
Cases,45,1744550,Both,Jordan
Cases,50,1601880,Both,Jordan
Cases,55,1397704,Both,Jordan
Cases,60,1056240,Both,Jordan
Cases,65,786408,Both,Jordan
Cases,70,583227,Both,Jordan
Cases,75,428594,Both,Jordan
Cases,80,350497,Both,Jordan
Cases,85,263302,Both,Jordan
Cases,90,217188,Both,Jordan
Deaths,0,894,Both,Jordan
Deaths,5,311,Both,Jordan
Deaths,10,428,Both,Jordan
Deaths,15,767,Both,Jordan
Deaths,20,1993,Both,Jordan
Deaths,25,3347,Both,Jordan
Deaths,30,5881,Both,Jordan
Deaths,35,9267,Both,Jordan
Deaths,40,14842,Both,Jordan
Deaths,45,24111,Both,Jordan
Deaths,50,34251,Both,Jordan
Deaths,55,46765,Both,Jordan
Deaths,60,57322,Both,Jordan
Deaths,65,64455,Both,Jordan
Deaths,70,66925,Both,Jordan
Deaths,75,64368,Both,Jordan
Deaths,80,63890,Both,Jordan
Deaths,85,56288,Both,Jordan
Deaths,90,63669,Both,Jordan
Cases,0,304978,Both,Kenya
Cases,5,392894,Both,Kenya
Cases,10,568184,Both,Kenya
Cases,15,902741,Both,Kenya
Cases,20,1611978,Both,Kenya
Cases,25,2103937,Both,Kenya
Cases,30,2104966,Both,Kenya
Cases,35,1970078,Both,Kenya
Cases,40,1834677,Both,Kenya
Cases,45,1744550,Both,Kenya
Cases,50,1601880,Both,Kenya
Cases,55,1397704,Both,Kenya
Cases,60,1056240,Both,Kenya
Cases,65,786408,Both,Kenya
Cases,70,583227,Both,Kenya
Cases,75,428594,Both,Kenya
Cases,80,350497,Both,Kenya
Cases,85,263302,Both,Kenya
Cases,90,217188,Both,Kenya
Deaths,0,894,Both,Kenya
Deaths,5,311,Both,Kenya
Deaths,10,428,Both,Kenya
Deaths,15,767,Both,Kenya
Deaths,20,1993,Both,Kenya
Deaths,25,3347,Both,Kenya
Deaths,30,5881,Both,Kenya
Deaths,35,9267,Both,Kenya
Deaths,40,14842,Both,Kenya
Deaths,45,24111,Both,Kenya
Deaths,50,34251,Both,Kenya
Deaths,55,46765,Both,Kenya
Deaths,60,57322,Both,Kenya
Deaths,65,64455,Both,Kenya
Deaths,70,66925,Both,Kenya
Deaths,75,64368,Both,Kenya
Deaths,80,63890,Both,Kenya
Deaths,85,56288,Both,Kenya
Deaths,90,63669,Both,Kenya
Cases,0,304978,Both,Latvia
Cases,5,392894,Both,Latvia
Cases,10,568184,Both,Latvia
Cases,15,902741,Both,Latvia
Cases,20,1611978,Both,Latvia
Cases,25,2103937,Both,Latvia
Cases,30,2104966,Both,Latvia
Cases,35,1970078,Both,Latvia
Cases,40,1834677,Both,Latvia
Cases,45,1744550,Both,Latvia
Cases,50,1601880,Both,Latvia
Cases,55,1397704,Both,Latvia
Cases,60,1056240,Both,Latvia
Cases,65,786408,Both,Latvia
Cases,70,583227,Both,Latvia
Cases,75,428594,Both,Latvia
Cases,80,350497,Both,Latvia
Cases,85,263302,Both,Latvia
Cases,90,217188,Both,Latvia
Deaths,0,894,Both,Latvia
Deaths,5,311,Both,Latvia
Deaths,10,428,Both,Latvia
Deaths,15,767,Both,Latvia
Deaths,20,1993,Both,Latvia
Deaths,25,3347,Both,Latvia
Deaths,30,5881,Both,Latvia
Deaths,35,9267,Both,Latvia
Deaths,40,14842,Both,Latvia
Deaths,45,24111,Both,Latvia
Deaths,50,34251,Both,Latvia
Deaths,55,46765,Both,Latvia
Deaths,60,57322,Both,Latvia
Deaths,65,64455,Both,Latvia
Deaths,70,66925,Both,Latvia
Deaths,75,64368,Both,Latvia
Deaths,80,63890,Both,Latvia
Deaths,85,56288,Both,Latvia
Deaths,90,63669,Both,Latvia
Cases,0,304978,Both,Lithuania
Cases,5,392894,Both,Lithuania
Cases,10,568184,Both,Lithuania
Cases,15,902741,Both,Lithuania
Cases,20,1611978,Both,Lithuania
Cases,25,2103937,Both,Lithuania
Cases,30,2104966,Both,Lithuania
Cases,35,1970078,Both,Lithuania
Cases,40,1834677,Both,Lithuania
Cases,45,1744550,Both,Lithuania
Cases,50,1601880,Both,Lithuania
Cases,55,1397704,Both,Lithuania
Cases,60,1056240,Both,Lithuania
Cases,65,786408,Both,Lithuania
Cases,70,583227,Both,Lithuania
Cases,75,428594,Both,Lithuania
Cases,80,350497,Both,Lithuania
Cases,85,263302,Both,Lithuania
Cases,90,217188,Both,Lithuania
Deaths,0,894,Both,Lithuania
Deaths,5,311,Both,Lithuania
Deaths,10,428,Both,Lithuania
Deaths,15,767,Both,Lithuania
Deaths,20,1993,Both,Lithuania
Deaths,25,3347,Both,Lithuania
Deaths,30,5881,Both,Lithuania
Deaths,35,9267,Both,Lithuania
Deaths,40,14842,Both,Lithuania
Deaths,45,24111,Both,Lithuania
Deaths,50,34251,Both,Lithuania
Deaths,55,46765,Both,Lithuania
Deaths,60,57322,Both,Lithuania
Deaths,65,64455,Both,Lithuania
Deaths,70,66925,Both,Lithuania
Deaths,75,64368,Both,Lithuania
Deaths,80,63890,Both,Lithuania
Deaths,85,56288,Both,Lithuania
Deaths,90,63669,Both,Lithuania
Cases,0,304978,Both,Luxembourg
Cases,5,392894,Both,Luxembourg
Cases,10,568184,Both,Luxembourg
Cases,15,902741,Both,Luxembourg
