Measure,Age,Value,Sex,Country
Cases,30,2104966,Both,Austria
Cases,35,1970078,Both,Austria
Cases,40,1834677,Both,Austria
Cases,45,1744550,Both,Austria
Cases,50,1601880,Both,Austria
Cases,55,1397704,Both,Austria
Cases,60,1056240,Both,Austria
Cases,65,786408,Both,Austria
Cases,70,583227,Both,Austria
Cases,75,428594,Both,Austria
Cases,80,350497,Both,Austria
Cases,85,263302,Both,Austria
Cases,90,217188,Both,Austria
Deaths,0,894,Both,Austria
Deaths,5,311,Both,Austria
Deaths,10,428,Both,Austria
Deaths,15,767,Both,Austria
Deaths,20,1993,Both,Austria
Deaths,25,3347,Both,Austria
Deaths,30,5881,Both,Austria
Deaths,35,9267,Both,Austria
Deaths,40,14842,Both,Austria
Deaths,45,24111,Both,Austria
Deaths,50,34251,Both,Austria
Deaths,55,46765,Both,Austria
Deaths,60,57322,Both,Austria
Deaths,65,64455,Both,Austria
Deaths,70,66925,Both,Austria
Deaths,75,64368,Both,Austria
Deaths,80,63890,Both,Austria
Deaths,85,56288,Both,Austria
Deaths,90,63669,Both,Austria
Cases,0,304978,Both,Bangladesh
Cases,5,392894,Both,Bangladesh
Cases,10,568184,Both,Bangladesh
Cases,15,902741,Both,Bangladesh
Cases,20,1611978,Both,Bangladesh
Cases,25,2103937,Both,Bangladesh
Cases,30,2104966,Both,Bangladesh
Cases,35,1970078,Both,Bangladesh
Cases,40,1834677,Both,Bangladesh
Cases,45,1744550,Both,Bangladesh
Cases,50,1601880,Both,Bangladesh
Cases,55,1397704,Both,Bangladesh
Cases,60,1056240,Both,Bangladesh
Cases,65,786408,Both,Bangladesh
Cases,70,583227,Both,Bangladesh
Cases,75,428594,Both,Bangladesh
Cases,80,350497,Both,Bangladesh
Cases,85,263302,Both,Bangladesh
Cases,90,217188,Both,Bangladesh
Deaths,0,894,Both,Bangladesh
Deaths,5,311,Both,Bangladesh
Deaths,10,428,Both,Bangladesh
Deaths,15,767,Both,Bangladesh
Deaths,20,1993,Both,Bangladesh
Deaths,25,3347,Both,Bangladesh
Deaths,30,5881,Both,Bangladesh
Deaths,35,9267,Both,Bangladesh
Deaths,40,14842,Both,Bangladesh
Deaths,45,24111,Both,Bangladesh
Deaths,50,34251,Both,Bangladesh
Deaths,55,46765,Both,Bangladesh
Deaths,60,57322,Both,Bangladesh
Deaths,65,64455,Both,Bangladesh
Deaths,70,66925,Both,Bangladesh
Deaths,75,64368,Both,Bangladesh
Deaths,80,63890,Both,Bangladesh
Deaths,85,56288,Both,Bangladesh
Deaths,90,63669,Both,Bangladesh
Cases,0,304978,Both,Belgium
Cases,5,392894,Both,Belgium
Cases,10,568184,Both,Belgium
Cases,15,902741,Both,Belgium
Cases,20,1611978,Both,Belgium
Cases,25,2103937,Both,Belgium
Cases,30,2104966,Both,Belgium
Cases,35,1970078,Both,Belgium
Cases,40,1834677,Both,Belgium
Cases,45,1744550,Both,Belgium
Cases,50,1601880,Both,Belgium
Cases,55,1397704,Both,Belgium
Cases,60,1056240,Both,Belgium
Cases,65,786408,Both,Belgium
Cases,70,583227,Both,Belgium
Cases,75,428594,Both,Belgium
Cases,80,350497,Both,Belgium
Cases,85,263302,Both,Belgium
Cases,90,217188,Both,Belgium
Deaths,0,894,Both,Belgium
Deaths,5,311,Both,Belgium
Deaths,10,428,Both,Belgium
Deaths,15,767,Both,Belgium
Deaths,20,1993,Both,Belgium
Deaths,25,3347,Both,Belgium
Deaths,30,5881,Both,Belgium
Deaths,35,9267,Both,Belgium
Deaths,40,14842,Both,Belgium
Deaths,45,24111,Both,Belgium
Deaths,50,34251,Both,Belgium
Deaths,55,46765,Both,Belgium
Deaths,60,57322,Both,Belgium
Deaths,65,64455,Both,Belgium
Deaths,70,66925,Both,Belgium
Deaths,75,64368,Both,Belgium
Deaths,80,63890,Both,Belgium
Deaths,85,56288,Both,Belgium
Deaths,90,63669,Both,Belgium
Cases,0,304978,Both,Bolivia
Cases,5,392894,Both,Bolivia
Cases,10,568184,Both,Bolivia
Cases,15,902741,Both,Bolivia
Cases,20,1611978,Both,Bolivia
Cases,25,2103937,Both,Bolivia
Cases,30,2104966,Both,Bolivia
Cases,35,1970078,Both,Bolivia
Cases,40,1834677,Both,Bolivia
Cases,45,1744550,Both,Bolivia
Cases,50,1601880,Both,Bolivia
Cases,55,1397704,Both,Bolivia
Cases,60,1056240,Both,Bolivia
Cases,65,786408,Both,Bolivia
Cases,70,583227,Both,Bolivia
Cases,75,428594,Both,Bolivia
Cases,80,350497,Both,Bolivia
Cases,85,263302,Both,Bolivia
Cases,90,217188,Both,Bolivia
Deaths,0,894,Both,Bolivia
Deaths,5,311,Both,Bolivia
Deaths,10,428,Both,Bolivia
Deaths,15,767,Both,Bolivia
Deaths,20,1993,Both,Bolivia
Deaths,25,3347,Both,Bolivia
Deaths,30,5881,Both,Bolivia
Deaths,35,9267,Both,Bolivia
Deaths,40,14842,Both,Bolivia
Deaths,45,24111,Both,Bolivia
Deaths,50,34251,Both,Bolivia
Deaths,55,46765,Both,Bolivia
Deaths,60,57322,Both,Bolivia
Deaths,65,64455,Both,Bolivia
Deaths,70,66925,Both,Bolivia
Deaths,75,64368,Both,Bolivia
Deaths,80,63890,Both,Bolivia
Deaths,85,56288,Both,Bolivia
Deaths,90,63669,Both,Bolivia
Cases,0,304978,Both,Botswana
Cases,5,392894,Both,Botswana
Cases,10,568184,Both,Botswana
Cases,15,902741,Both,Botswana
Cases,20,1611978,Both,Botswana
Cases,25,2103937,Both,Botswana
Cases,30,2104966,Both,Botswana
Cases,35,1970078,Both,Botswana
Cases,40,1834677,Both,Botswana
Cases,45,1744550,Both,Botswana
Cases,50,1601880,Both,Botswana
Cases,55,1397704,Both,Botswana
Cases,60,1056240,Both,Botswana
Cases,65,786408,Both,Botswana
Cases,70,583227,Both,Botswana
Cases,75,428594,Both,Botswana
Cases,80,350497,Both,Botswana
Cases,85,263302,Both,Botswana
Cases,90,217188,Both,Botswana
Deaths,0,894,Both,Botswana
Deaths,5,311,Both,Botswana
Deaths,10,428,Both,Botswana
Deaths,15,767,Both,Botswana
Deaths,20,1993,Both,Botswana
Deaths,25,3347,Both,Botswana
Deaths,30,5881,Both,Botswana
